# Generated by tools/ghidra/build_corpus_manifest.py — DO NOT HAND-EDIT.
# Grain: one row per (sweep TAG, Ghidra program). TAG is the join key to sweep.sh.
# Verify coverage with: py tools/ghidra/preflight.py   (drift = exit 2/3)
TAG	ROLE	PROJECT	REP	PROGRAM	SELECTED	ACQUISITION	STEAM_APPID	STEAM_INSTALLDIR	STEAM_LIB_TODAY	STEAM_GB	BINARY_STATE	PATH_TODAY	GHIDRA_PATH	RECORDED_MD5	PDB	REP_GB	NOTE
UE4.15-Flying	ORACLE	UE415_Flyinh-Win64-Shipping	YES	UE415_Flyinh-Win64-Shipping.exe	yes	SELF-BUILT	-	-	-	-	MATCH	X:\UE_Analyze_Data\Varies Version builds\4.15.3\Shipping\WindowsNoEditor\UE415_Flyinh\Binaries\Win64\UE415_Flyinh-Win64-Shipping.exe	X:\UE_Analyze_Data\Varies Version builds\4.15.3\Shipping\WindowsNoEditor\UE415_Flyinh\Binaries\Win64\UE415_Flyinh-Win64-Shipping.exe	2f94653fdbe932fba33e687eff58d516	YES	1.16	-
UE4.20-Everspace	ORACLE	ES1-420	YES	RSG-Win64-Shipping.exe	yes	STEAM	396750	EVERSPACE	H:\SteamLibrary	10.4	MATCH	H:\SteamLibrary\steamapps\common\EVERSPACE\RSG\Binaries\Win64\RSG-Win64-Shipping.exe	H:\SteamLibrary\steamapps\common\EVERSPACE\RSG\Binaries\Win64\RSG-Win64-Shipping.exe	d6e8511c9a6c18bae3377f6584ea5e74	YES	1.67	-
UE4.20-HeliumRain	ORACLE	HeliumRain	YES	HeliumRain-Win64-Shipping.exe	yes	STEAM	681330	HeliumRain	H:\SteamLibrary	3.9	MATCH	H:\SteamLibrary\steamapps\common\HeliumRain\HeliumRain\Binaries\Win64\HeliumRain-Win64-Shipping.exe	H:\SteamLibrary\steamapps\common\HeliumRain\HeliumRain\Binaries\Win64\HeliumRain-Win64-Shipping.exe	4dd8b021b63fc97f9bd513321a5354cf	YES	1.39	-
UE4.22-Satisfactory	ORACLE	Satisfactory_UE422	YES	FactoryGame-Win64-Shipping.exe	yes	ARCHIVE	-	-	-	-	MATCH	D:\tmp\Game archive\Satisfactory\UE4.2.2\FactoryGame\Binaries\Win64\FactoryGame-Win64-Shipping.exe	D:\tmp\Game archive\Satisfactory\UE4.2.2\FactoryGame\Binaries\Win64\FactoryGame-Win64-Shipping.exe	a1df9f191f8978e6c05d7919237be565	YES	2.58	-
UE4.23-Flying	ORACLE	UE423_Flying-Win64_Shipping	YES	UE423_Flying-Win64-Shipping.exe	yes	SELF-BUILT	-	-	-	-	MATCH	D:\Unreal Projects\UE423_Flying\Binaries_Shipping\Win64\UE423_Flying-Win64-Shipping.exe	D:\Unreal Projects\UE423_Flying\Binaries_Shipping\Win64\UE423_Flying-Win64-Shipping.exe	f61ec1be259922847178fe6a0a42817b	YES	1.34	-
UE4.24-DropIn	ORACLE	DropIn_UE424	YES	DropIn.exe	yes	ARCHIVE	-	-	-	-	MATCH	D:\tmp\Game archive\DropIn\UE4.24\DropIn\Binaries\Win64\DropIn.exe	D:\tmp\Game archive\DropIn\UE4.24\DropIn\Binaries\Win64\DropIn.exe	2f640ff0d11784a430a1edb845743e1f	YES	3.76	-
UE4.25-Everspace2	ORACLE	ES2-UE425	YES	ES2-Win64-Shipping.exe	yes	ARCHIVE	-	-	-	-	MATCH	D:\tmp\Game archive\ES2\UE4.25.2\ES2\Binaries\Win64\ES2-Win64-Shipping.exe	D:\tmp\Game archive\ES2\UE4.25.2\ES2\Binaries\Win64\ES2-Win64-Shipping.exe	0588eacdee27ea0bf105727789727fd8	YES	1.98	-
UE4.26-Satisfactory	ORACLE	Satisfactory_UE426	YES	FactoryGame-Core-Win64-Shipping.dll	yes	ARCHIVE	-	-	-	-	MATCH	D:\tmp\Game archive\Satisfactory\UE4.26.2\Engine\Binaries\Win64\FactoryGame-Core-Win64-Shipping.dll	D:\tmp\Game archive\Satisfactory\UE4.26.2\Engine\Binaries\Win64\FactoryGame-Core-Win64-Shipping.dll	1fd90d385eab7156f61ff4245e61bdaf	YES	2.12	-
UE4.26-Satisfactory	ORACLE	Satisfactory_UE426	YES	FactoryGame-CoreUObject-Win64-Shipping.dll	yes	ARCHIVE	-	-	-	-	MATCH	D:\tmp\Game archive\Satisfactory\UE4.26.2\Engine\Binaries\Win64\FactoryGame-CoreUObject-Win64-Shipping.dll	D:\tmp\Game archive\Satisfactory\UE4.26.2\Engine\Binaries\Win64\FactoryGame-CoreUObject-Win64-Shipping.dll	ba47b71affb0d1b94e8a6c37c8c96f80	YES	2.12	-
UE4.26-Satisfactory	ORACLE	Satisfactory_UE426	YES	FactoryGame-Engine-Win64-Shipping.dll	yes	ARCHIVE	-	-	-	-	MATCH	D:\tmp\Game archive\Satisfactory\UE4.26.2\Engine\Binaries\Win64\FactoryGame-Engine-Win64-Shipping.dll	D:\tmp\Game archive\Satisfactory\UE4.26.2\Engine\Binaries\Win64\FactoryGame-Engine-Win64-Shipping.dll	643132b60bf639d9daca780a4b117b79	YES	2.12	-
