# program	Nekopara.exe
# tag	UE4.11-Nekopara
# image_base	140000000
# image_base_str	140000000
name	start	size	exec	init	read	write	md5
Headers	140000000	1024	0	1	1	0	9e3279ca090e25f21f799300c038e685
.text	140001000	27474432	1	1	1	0	cece2b850ff8062dbd86fc943d3b56cc
.rdata	141a35000	9473024	0	1	1	0	e792049dbede4cca0fafc7242f7e620a
.data	14233e000	1677232	0	1	1	1	9b821cc91d1c7430fa67b9373d7843d8
.pdata	1424d8000	1491456	0	1	1	0	f211dd7d480a0814b648d515d8a87188
.tls	142645000	512	0	1	1	1	adb00c88d5919bab3c4b160cbf2abed5
_RDATA	142646000	32768	0	1	1	0	6d14eb7565726750bb0df2c22b188ee5
.rsrc	14264e000	107008	0	1	1	0	dedc9166f6f758044d35a1a8c9dce658
.reloc	142669000	392704	0	1	1	0	2a19463d63abfc67ae462d81872a3299
tdb	ff00000000	6224	0	1	1	1	9e170a4d4fb961e4243fab3edb309dc8
