# program	Fantasynth-Win64-Shipping.exe
# tag	UE4.13-Fantasynth
# image_base	140000000
# image_base_str	140000000
name	start	size	exec	init	read	write	md5
Headers	140000000	1536	0	1	1	0	5d45313906382ab9936e54ef2efd2e10
.text	140001000	29710336	1	1	1	0	600be5fe08da42d21c18bbcb9decabb7
.rdata	141c57000	9969664	0	1	1	0	6348cf957402bfca3ca5aa4e06344d8f
.data	1425d9000	3043504	0	1	1	1	5e5066969ab82ae5c11b35ecc445344b
.pdata	1428c1000	1633792	0	1	1	0	27a531f5b97ed4be3b5dcca0c6868461
.tls	142a50000	512	0	1	1	1	adb00c88d5919bab3c4b160cbf2abed5
.gfids	142a51000	512	0	1	1	0	ecf58cd02b946adc7e17aa6f91158ed6
_RDATA	142a52000	32768	0	1	1	0	6d14eb7565726750bb0df2c22b188ee5
.rsrc	142a5a000	72704	0	1	1	0	212d37acb4ba87776f5ba8b264464396
.reloc	142a6c000	415232	0	1	1	0	bb91aadf1b18705ada5a9815a1f269b7
tdb	ff00000000	6224	0	1	1	1	9e170a4d4fb961e4243fab3edb309dc8
