# program	DRAGON QUEST XI S.exe
# tag	UE4.18-DQXIS
# image_base	140000000
# image_base_str	140000000
name	start	size	exec	init	read	write	md5
Headers	140000000	1536	0	1	1	0	893c30d6632f100d2ae0533c5ec649a8
.text	140001000	56762880	1	1	1	0	8583cd0012bfa4056036853ba0e038fd
.rdata	143624000	33206272	0	1	1	0	995f5948b7b0661302ba0b2deeb5bcad
.data	1455cf000	13244328	0	1	1	1	39713a50c611aac7ba305b4ded42acd5
.pdata	146271000	2964992	0	1	1	0	05ae9ad5e7b6298aca043ed037b447f2
.tls	146545000	512	0	1	1	1	adb00c88d5919bab3c4b160cbf2abed5
.gfids	146546000	512	0	1	1	0	3861b8d1830781b781c2c0cbb8c322dc
_RDATA	146547000	33280	0	1	1	0	77e147a3b045d585272a366221b37bd0
.rsrc	146550000	285184	0	1	1	0	da027985bc6cb68e92f710ba9b912bdb
.reloc	146596000	1812480	0	1	1	0	f3c8ef9ceab0ff6ef7dff5503dad53dc
tdb	ff00000000	6224	0	1	1	1	9e170a4d4fb961e4243fab3edb309dc8
