# program	ff7remake_.exe
# tag	UE4.18-FF7R
# image_base	140000000
# image_base_str	140000000
name	start	size	exec	init	read	write	md5
Headers	140000000	1536	0	1	1	0	96c8f3edee5eb3f603fdfd93a22959c4
.text	140001000	67703296	1	1	1	0	84f4381c5e93823da77f888cd591d6c4
.rdata	144093000	19670528	0	1	1	0	eedbf9ba571c7c99a5e982456a1f4b2f
.data	145356000	7107968	0	1	1	1	029add90c6fe26ee948dfd424362311f
.pdata	145a1e000	3570688	0	1	1	0	c2704d0fca93d2d861621b414c2a7166
.rodata	145d86000	4608	0	1	1	0	f50137717d4ff0365aac8e49a7362058
_RDATA	145d88000	2048	0	1	1	0	ae10f75914d0c7ab3e3a8ca4bbe7b5fe
.rsrc	145d89000	223232	0	1	1	0	829afe3a410ad25c8ae097bb4476b7df
.reloc	145dc0000	1294336	0	1	1	0	876c6f3c060232d8f9509fd9cc8d6699
tdb	ff00000000	6224	0	1	1	1	9e170a4d4fb961e4243fab3edb309dc8
