# program	Octopath_Traveler-Win64-Shipping.exe
# tag	UE4.18-Octopath
# image_base	140000000
# image_base_str	140000000
name	start	size	exec	init	read	write	md5
Headers	140000000	1536	0	1	1	0	dff030ce00bd31d2e83c7647c2cd8e8b
.text	140001000	28482048	1	1	1	0	5cda3f95ca448b51f3b2215ce43b607e
.rdata	141b2b000	11429376	0	1	1	0	a3d9aecbd14d4fca0fa4ccc65cf6ea27
.data	142612000	8385136	0	1	1	1	0110b15650bbf73521ecaad244a21d85
.pdata	142e12000	1740800	0	1	1	0	0052ec932fcb845f31d4bf9518b849f4
.tls	142fbb000	512	0	1	1	1	ba27cbc596dced9110bdff8963a62f7e
.gfids	142fbc000	512	0	1	1	0	3861b8d1830781b781c2c0cbb8c322dc
_RDATA	142fbd000	33280	0	1	1	0	77e147a3b045d585272a366221b37bd0
.rsrc	142fc6000	315392	0	1	1	0	2f3cc575da167c42398d8bd7e5e3738c
.reloc	143013000	764928	0	1	1	0	0f179b90de80c85fe96240727f61d81b
tdb	ff00000000	6224	0	1	1	1	9e170a4d4fb961e4243fab3edb309dc8
