# program	FreudGate-Win64-Shipping.exe
# tag	UE4.21-FreudGate
# image_base	140000000
# image_base_str	140000000
name	start	size	exec	init	read	write	md5
Headers	140000000	1536	0	1	1	0	53727dc275dabaa9c8b615ca3046aed6
.text	140001000	32761856	1	1	1	0	0be0dd8c5194c58c39ae56c2bd5458ec
.rdata	141f40000	13293568	0	1	1	0	66cd9ae38c9d0ec00511d60e2c09b01e
.data	142bee000	5155808	0	1	1	1	c41e26a6a5e591557abd3fc0c24cfea7
.pdata	1430d9000	1960448	0	1	1	0	d406fdb2cba7664ec7b92f6df8ab95e9
.rodata	1432b8000	4608	0	1	1	0	9c7425d2014abcb2ab2092b200be9ccf
_RDATA	1432ba000	40960	0	1	1	0	874951945e13b7f805e6a5a5fdb39100
.rsrc	1432c4000	73728	0	1	1	0	992027958f9cc8b353ea56b114f6c873
.reloc	1432d6000	806400	0	1	1	0	be761effeb992e8165135ae247352a98
tdb	ff00000000	6224	0	1	1	1	9e170a4d4fb961e4243fab3edb309dc8
