# program	FactoryGame-Win64-Shipping.exe
# tag	UE4.22-Satisfactory
# image_base	140000000
# image_base_str	140000000
name	start	size	exec	init	read	write	md5
Headers	140000000	1536	0	1	1	0	f60e3dacfc5d5612ccdddfb3e097f702
.text	140001000	46219776	1	1	1	0	f14685c15e93a0f3d46cf6ae8f77eb5f
.uedbg	142c16000	622080	1	1	1	0	912202fd69df2173ebd089006bd43b7c
.rdata	142cae000	14797824	0	1	1	0	03313c58f926db009ad601d204889b56
.data	143acb000	6812632	0	1	1	1	4608f963b02111198b6d79858cbc9638
.pdata	14414b000	2549248	0	1	1	0	84debdab9b796b5a509670218bbb9140
.rodata	1443ba000	4608	0	1	1	0	c75e62a9f690525b8d2c659435d30db3
_RDATA	1443bc000	9728	0	1	1	0	9cd2c8551e18f18e0b2601f0eb7e7699
.rsrc	1443bf000	61952	0	1	1	0	355285033d3483d76ac3fd1fac79fd87
.reloc	1443cf000	1253888	0	1	1	0	3d46dd388cf235da273c52b34e4ae2de
tdb	ff00000000	6224	0	1	1	1	9e170a4d4fb961e4243fab3edb309dc8
