# program	UE423_Flying-Win64-DebugGame.exe
# tag	UE4.23-FlyingDbgGame
# image_base	140000000
# image_base_str	140000000
name	start	size	exec	init	read	write	md5
Headers	140000000	1536	0	1	1	0	6b47124c20a4b7c2249c829666aeaede
.text	140001000	77144576	1	1	1	0	f98b9819395547e210ba01fda3af3710
.uedbg	144994000	3712000	1	1	1	0	474573d7108c0b5527c20fc93e79475c
.rdata	144d1f000	19287040	0	1	1	0	eb4c67d9551afbfe834f5f1cbe7dcf19
.data	145f84000	4390736	0	1	1	1	2fb56b10d9dc016db0a4ebcbc4547395
.pdata	1463b4000	4332544	0	1	1	0	e65906ca3b8ecfc2a981d417f65dc46d
.rodata	1467d6000	4608	0	1	1	0	c75e62a9f690525b8d2c659435d30db3
_RDATA	1467d8000	9728	0	1	1	0	9cd2c8551e18f18e0b2601f0eb7e7699
.rsrc	1467db000	73728	0	1	1	0	5a7de103f8284a2c2bd95fd784fc98d6
.reloc	1467ed000	1254912	0	1	1	0	1344b6bd016d680b2a600640b52a4aae
tdb	ff00000000	6224	0	1	1	1	9e170a4d4fb961e4243fab3edb309dc8
