# program	UE423_Flying-Win64-Shipping.exe
# tag	UE4.23-Flying
# image_base	140000000
# image_base_str	140000000
name	start	size	exec	init	read	write	md5
Headers	140000000	1536	0	1	1	0	78dbe2bf5c359b74ff4365c5f55766b1
.text	140001000	35704832	1	1	1	0	a93bdf06989da5bd48d0d5b6eb6b5a61
.rdata	14220e000	10540032	0	1	1	0	f64a49b181840a3ca59c53a7d70d0c82
.data	142c1c000	3739888	0	1	1	1	93967aae3a99eda1201d7e1901c8f790
.pdata	142fae000	2003456	0	1	1	0	b4f38774061cee211bd80c277810fff2
.rodata	143198000	4608	0	1	1	0	c75e62a9f690525b8d2c659435d30db3
_RDATA	14319a000	9728	0	1	1	0	9cd2c8551e18f18e0b2601f0eb7e7699
.rsrc	14319d000	73728	0	1	1	0	bb8c0c2f1fdf8737b29770d9b522edc0
.reloc	1431af000	879616	0	1	1	0	b316aaba604a245100d41b4e407b3041
tdb	ff00000000	6224	0	1	1	1	9e170a4d4fb961e4243fab3edb309dc8
