# program	FactoryGame-Core-Win64-Shipping.dll
# tag	UE4.26-Satisfactory
# image_base	180000000
# image_base_str	180000000
name	start	size	exec	init	read	write	md5
Headers	180000000	1024	0	1	1	0	d7847921697948aebd1bae9de79c22b0
.text	180001000	4107264	1	1	1	0	9afa775251434c1f3e1ab8959f0bb258
.uedbg	1803ec000	50176	1	1	1	0	2764509e2978dbda410bbb8d51736365
.rdata	1803f9000	1746944	0	1	1	0	9382ea6243cdd451eebc8bc6d4df053f
.data	1805a4000	1008332	0	1	1	1	3a680c913f6fc022745d66ae52d35528
.pdata	18069b000	243200	0	1	1	0	b3c8dc903904e682756d9a5ec4b2e243
_RDATA	1806d7000	9216	0	1	1	0	a40195987236fe85a29643934a2b6e66
.rsrc	1806da000	60928	0	1	1	0	6ca0bc1375015c537026965e923a2a05
.reloc	1806e9000	32256	0	1	1	0	d9e834770dbeefdc6a233a56cb49c575
tdb	ff00000000	6224	0	1	1	1	9e170a4d4fb961e4243fab3edb309dc8
