# program	FactoryGame-FactoryGame-Win64-Shipping.dll
# tag	UE4.26-Satisfactory
# image_base	180000000
# image_base_str	180000000
name	start	size	exec	init	read	write	md5
Headers	180000000	1024	0	1	1	0	e7efd484c40d2204cfb8135955e565f8
.uedbg	180001000	73728	1	1	1	0	c9d16b7d4d18d22d662ef058ea532ee2
.text	180013000	8402432	1	1	1	0	9e437f5981a669e347d9410cbc6486f1
.rdata	180817000	6929920	0	1	1	0	024c755b1e133eafc43dec02df421135
.data	180eb3000	756464	0	1	1	1	757dc655bad13dcdb8bdbda348b013c1
.pdata	180f6c000	582656	0	1	1	0	236fb3b513e73b6771715cf3114fb0d1
_RDATA	180ffb000	9216	0	1	1	0	a40195987236fe85a29643934a2b6e66
.rsrc	180ffe000	60928	0	1	1	0	ff054878100972ae3460ff092d91b6ca
.reloc	18100d000	458240	0	1	1	0	c7f35720c9a714f64dd62768d13199af
tdb	ff00000000	6224	0	1	1	1	9e170a4d4fb961e4243fab3edb309dc8
