# program	Geri-Win64-Shipping.exe
# tag	UE4.27-Artisan
# image_base	140000000
# image_base_str	140000000
name	start	size	exec	init	read	write	md5
Headers	140000000	1536	0	1	1	0	eee2fc28343ab3030daff475616c81c8
.text	140001000	56930304	1	1	1	0	4bbefc8bce55234dc51191a492ff5f7e
.rdata	14364c000	14262272	0	1	1	0	f4a9e94fe1d46cdf8e19dbf394799502
.data	1443e6000	6774916	0	1	1	1	fa8cc835d49384491137d7c06ca97b41
.pdata	144a5d000	2831360	0	1	1	0	83a05d2e51fda50dc424f625dcbce916
.msvcjmc	144d11000	512	0	1	1	1	393c810880d948e00f650d316a3604b7
.rodata	144d12000	4608	0	1	1	0	c75e62a9f690525b8d2c659435d30db3
_RDATA	144d14000	158720	0	1	1	0	045046e853d81941b0868e0f27986f8a
.rsrc	144d3b000	167936	0	1	1	0	d166c858d14e26e61666eac66cf87ada
.reloc	144d64000	1174016	0	1	1	0	6a5d79ffea2a9b39bfc96d1b0eb9673b
tdb	ff00000000	6224	0	1	1	1	9e170a4d4fb961e4243fab3edb309dc8
