# program	OBF-Win64-Shipping.exe
# tag	UE4.27-Breeders
# image_base	140000000
# image_base_str	140000000
name	start	size	exec	init	read	write	md5
Headers	140000000	1536	0	1	1	0	5535d662dcfd84e4aa38079f00447509
.text	140001000	53726208	1	1	1	0	eb032af8efec774a0368e911eea9c8f2
.rdata	14333e000	14292480	0	1	1	0	a99b184bf33186bf87f6a95e60c37fbc
.data	1440e0000	7035356	0	1	1	1	13f9ebd63d6fe48e4729e3b0afab7e9b
.pdata	144796000	2782720	0	1	1	0	431e553282a2a4d00d8f6b5e2688595f
.msvcjmc	144a3e000	512	0	1	1	1	393c810880d948e00f650d316a3604b7
_RDATA	144a3f000	90624	0	1	1	0	5e2bda9892bb76f69b91e0fa7ea06982
.rsrc	144a56000	374272	0	1	1	0	849718472be58b4b39b14bf84244db9c
.reloc	144ab2000	1259008	0	1	1	0	8ababa0e36260c1e65efd72131c9c300
tdb	ff00000000	6224	0	1	1	1	9e170a4d4fb961e4243fab3edb309dc8
