# program	DQ7R-Win64-Shipping.exe
# tag	UE4.27-DQ7R
# image_base	140000000
# image_base_str	140000000
name	start	size	exec	init	read	write	md5
Headers	140000000	1536	0	1	1	0	b6f608190b2b2a57456943885cf98d54
.debug	140001000	72314880	1	1	1	0	a787def0c16729fb1dbc87392d93b9a5
.xpdata	1444f8000	22482944	0	1	1	0	a6766311f3b3bf0be98716b85ebb4edd
.shared	145a69000	9809920	0	1	1	1	7bd04852892dc42bc14188c2fa63d06c
.reloc	1463c4000	3903488	0	1	1	0	78de9bf1ee8f862034fc47b87149a72e
.data1	14677d000	4096	0	1	1	0	79b4640c2665570084fe820a95982400
.data	14677e000	4096	0	1	1	1	8e44d6cc987b4f2345655d167587ba97
.didata	14677f000	163840	0	1	1	0	7e82ba0657c186f11b2212659625b260
.idata	1467a7000	405504	0	1	1	0	2569b5cf09e13a6ab6836540d6dd1942
.trace	14680a000	1961984	0	1	1	0	ec580ebccdb2772ddc7abac865198a2e
.link	1469e9000	293313536	1	1	1	1	09727990bc9f0d07a36c1f9bae79d4a7
.xtext	1581a3000	227840	0	1	1	0	1f74e654a010cd58d1882ce1f7a7eaa8
.bss	1581db000	512	1	1	1	0	2e950c11309adf4773e552e680ecb9ad
.ecode	1581dc000	512	1	1	1	1	af3f86e51b3e21eb08aec038c431ce2c
.rdata	1581dd000	51712	0	1	1	1	9941ed7f5be2dde502cef2fc3bb5e764
.impdata	1581ea000	512	0	1	1	1	9adfb46f6958500c6363d9765f439ff8
.rsrc	1581eb000	3072	0	1	1	0	90cff77258e9708fa07938cdcd992f52
.sdata	1581ec000	17920	0	1	1	1	389222bfc2f567e343f3e413b998b27e
.xtls	1581f1000	512	0	1	1	0	82b075b882ccc6145e006f301f1ae44e
.srdata	1581f2000	3899904	0	1	1	0	8b7f2776ef34be45503c0f8ead22f9fe
