# program	DropIn.exe
# tag	UE4.27-DropIn
# image_base	140000000
# image_base_str	140000000
name	start	size	exec	init	read	write	md5
Headers	140000000	1536	0	1	1	0	bf9432d59292ca0917e6dcab88890bd4
.text	140001000	129527808	1	1	1	0	6d4b9fa53edbf56b93d50aa9974e321e
.uedbg	147b88000	6367232	1	1	1	0	2269acf07a7488ba39e48425d0745b05
.rdata	14819b000	29581312	0	1	1	0	80f9419280b8c31eee3e0ad2c8533e54
.data	149dd1000	8130964	0	1	1	1	062a5c7394fd0c6ee8a3782d19f14de8
.pdata	14a593000	7083520	0	1	1	0	e2ba35837256a006924ab5f5f3a2b30c
.lpp_pre	14ac55000	512	0	1	1	0	77eb7ee095e4bd485886e589084e1c74
.lpp_pos	14ac56000	512	0	1	1	0	ce99430da3d42941d878a8e063661803
.msvcjmc	14ac57000	512	0	1	1	1	393c810880d948e00f650d316a3604b7
.rodata	14ac58000	4608	0	1	1	0	c75e62a9f690525b8d2c659435d30db3
_RDATA	14ac5a000	158720	0	1	1	0	71c1e8c127b01698677a7f0a696ae8de
.rsrc	14ac81000	28160	0	1	1	0	4f95c0d0f8e6ac874d6b0d1b5dcbdf97
.reloc	14ac88000	1918976	0	1	1	0	1b06cb63785590eb8427c556fde21894
tdb	ff00000000	6224	0	1	1	1	9e170a4d4fb961e4243fab3edb309dc8
