# program	UE427_Flying.exe
# tag	UE4.27-FlyingDev
# image_base	140000000
# image_base_str	140000000
name	start	size	exec	init	read	write	md5
Headers	140000000	1536	0	1	1	0	97ee1c4952e514edfc4f9d79fb96837b
.text	140001000	120532480	1	1	1	0	8da59259e5068a77f871d1dadc2ee833
.uedbg	1472f4000	5697024	1	1	1	0	4f081525fbaf1ab4c3bba29538f407db
.rdata	147863000	26703360	0	1	1	0	9fbcafbe7f71df1e61cfb24b7b97af9f
.data	1491db000	7643796	0	1	1	1	538b305997839b478c337628d3f5961a
.pdata	149926000	6398464	0	1	1	0	546c4d53cf4b1de4f483ec61a8c1e32c
.lpp_pre	149f41000	512	0	1	1	0	e1306a9246070bc6cd53c196c62127ef
.lpp_pos	149f42000	512	0	1	1	0	824cf5883c862b674d1585f61d888eda
.msvcjmc	149f43000	512	0	1	1	1	393c810880d948e00f650d316a3604b7
.rodata	149f44000	4608	0	1	1	0	c75e62a9f690525b8d2c659435d30db3
_RDATA	149f46000	158720	0	1	1	0	71c1e8c127b01698677a7f0a696ae8de
.rsrc	149f6d000	28160	0	1	1	0	97c0896ec63942fa5284e93a8b1e919a
.reloc	149f74000	1617408	0	1	1	0	b5282f4bf7a1194c8483c6308cde1fc3
tdb	ff00000000	6224	0	1	1	1	9e170a4d4fb961e4243fab3edb309dc8
