# program	UE427_Flying-Win64-Shipping.exe
# tag	UE4.27-FlyingShipping
# image_base	140000000
# image_base_str	140000000
name	start	size	exec	init	read	write	md5
Headers	140000000	1536	0	1	1	0	73e02f63c7682f8b063156ecb72abb0b
.text	140001000	56953344	1	1	1	0	9c916d8a338e7b29d520bfac7e0952d7
.rdata	143652000	14157312	0	1	1	0	1bf729fcf43334e62b036c2ec19a41ff
.data	1443d3000	6805796	0	1	1	1	23ab677acd7fc98be787739dfcbd150b
.pdata	144a51000	2823680	0	1	1	0	0919a5f6bc6e03a948740d9fb9df9ab6
.msvcjmc	144d03000	512	0	1	1	1	393c810880d948e00f650d316a3604b7
.rodata	144d04000	4608	0	1	1	0	c75e62a9f690525b8d2c659435d30db3
_RDATA	144d06000	158720	0	1	1	0	045046e853d81941b0868e0f27986f8a
.rsrc	144d2d000	28160	0	1	1	0	868b89d3cebcf29446340d5f9fa60f47
.reloc	144d34000	1155072	0	1	1	0	f1452ea023c211effebde60ee56f0b7b
tdb	ff00000000	6224	0	1	1	1	9e170a4d4fb961e4243fab3edb309dc8
