# program	HogwartsLegacy.exe
# tag	UE4.27-Hogwarts
# image_base	140000000
# image_base_str	140000000
name	start	size	exec	init	read	write	md5
Headers	140000000	1536	0	1	1	0	92b71e06069469897faf7ba946e89a3f
.udata	140001000	110390784	1	1	1	0	29f35358dcb4ab68055892e8ba03a2c6
.ecode	146948000	41549824	0	1	1	0	6ab3ccff5fe5eb60e2758e40f446b7ab
.sbss	1490e8000	10420224	0	1	1	1	ff887328bda4cfa4522bd0aac5dea452
.xtls	149ad8000	5971968	0	1	1	0	9aba7cb897f028c135b2b4265125a00e
.rsrc	14a08a000	4096	0	1	1	1	8e44d6cc987b4f2345655d167587ba97
.arch	14a08b000	163840	0	1	1	0	0a0cdadf3ada6f4e38e61659c2e13d59
.didata	14a0b3000	131072	0	1	1	0	f22b76435e6f2735ce1773ac58c37758
.reloc	14a0d3000	3698688	0	1	1	0	58f0b737e46a789dc9f1bcfeb7a0c7ed
.xpdata	14a45a000	287721472	1	1	1	1	fb6088e12c8efe2ae3dd5b358e55fe7c
.tls	15b6bf000	194560	0	1	1	0	e6b6f7c9a8b763ef63c7593948918dd7
.impdata	15b6ef000	16384	1	1	1	0	af06e6261567b14fc6fddb053927ab40
.debug	15b6f3000	512	1	1	1	0	1e0de81604c445fdc1f74499a679f67d
.srdata	15b6f4000	512	1	1	1	0	2ccd5fec25208f8831e4dea4257407c5
.shared	15b6f5000	512	1	1	1	1	30b75305bf3675e7e42ed11a7d6a4275
.xdata	15b6f6000	17408	0	1	1	1	55d1fa39b6d07b3634d1a133ef2dc860
.sdata	15b6fb000	86016	0	1	1	0	f4ae8accb387e88f170e4d51245928e1
.link	15b710000	5969920	0	1	1	0	80d73167b005e945b59c29af9ab23119
tdb	ff00000000	6224	0	1	1	1	9e170a4d4fb961e4243fab3edb309dc8
