# program	MaelstromV2-Win64-Shipping.exe
# tag	UE4.27-Maelstrom
# image_base	140000000
# image_base_str	140000000
name	start	size	exec	init	read	write	md5
Headers	140000000	1536	0	1	1	0	e83bae4568d1cd292ccb8a03ff3928d9
.text	140001000	69739520	1	1	1	0	4d10ea58b613b822be4f30aa88fcc0a8
.rdata	144284000	21182976	0	1	1	0	88e1ed5ec600a42b161821144e06ff59
.data	1456b8000	6809436	0	1	1	1	bf84e7c56e700dfe316204f0d325937f
.pdata	145d37000	3644416	0	1	1	0	be63cd8ef5241d1c180642c066c20605
.msvcjmc	1460b1000	512	0	1	1	1	393c810880d948e00f650d316a3604b7
.rodata	1460b2000	4608	0	1	1	0	c75e62a9f690525b8d2c659435d30db3
_RDATA	1460b4000	160768	0	1	1	0	d66f0bf389cb49bbdf3f6354f9e1cde8
.rsrc	1460dc000	38400	0	1	1	0	bc718509b9e1d645ad02fc05491560d4
.reloc	1460e6000	1848320	0	1	1	0	ae2605b3e9995b029db7d13d31eca849
tdb	ff00000000	6224	0	1	1	1	9e170a4d4fb961e4243fab3edb309dc8
