# program	ff7rebirth_.exe
# tag	UE4.x-FF7Rebirth
# image_base	140000000
# image_base_str	140000000
name	start	size	exec	init	read	write	md5
Headers	140000000	1536	0	1	1	0	e534538e9dcc8e20547f369fbf0e2605
.text	140001000	89547264	1	1	1	0	0c33ac63c60eb6ae14cc6d4252334ebd
.rdata	145568000	24283136	0	1	1	0	7019ac33418315207ca59e63c562adf0
.data	146c91000	39882548	0	1	1	1	1f00bd3b51cd3f2cbfe3b70a31d49e03
.pdata	14929a000	4681216	0	1	1	0	5ab1a61da682fa72fe5c37306d8d39af
.rodata	149711000	2048	0	1	1	0	5400216b270f7b220836d3e2273bb10e
.msvcjmc	149712000	512	0	1	1	1	393c810880d948e00f650d316a3604b7
_RDATA	149713000	108032	0	1	1	0	a92b879a0d7e226eabd45e7222c948b9
.rsrc	14972e000	201216	0	1	1	0	e82a6bcf14dde623d3c1cc656d7dfb42
.reloc	149760000	2592256	0	1	1	0	554804a0b0303c88a2ea51ee6ab87a63
tdb	ff00000000	6224	0	1	1	1	9e170a4d4fb961e4243fab3edb309dc8
