# program	LightMaze-Win64-Shipping.exe
# tag	UE5.0-LightMaze
# image_base	140000000
# image_base_str	140000000
name	start	size	exec	init	read	write	md5
Headers	140000000	1536	0	1	1	0	e865084c22fe4a0a4920d56883dd2ca8
.text	140001000	60572672	1	1	1	0	120d34fd15ad9360b68bbbb29dd5f74e
.rdata	1439c6000	17205760	0	1	1	0	c084c624b9c451572199d5e9b35b3e47
.data	144a2f000	4201968	0	1	1	1	40c9c8196019e4599839f846e3d379c5
.pdata	144e31000	2797056	0	1	1	0	aa39282b13e49128ce99772b27dfbafa
.msvcjmc	1450dc000	512	0	1	1	1	393c810880d948e00f650d316a3604b7
_RDATA	1450dd000	162304	0	1	1	0	988a1c0a421b9feed2c43894d8da70bb
.rsrc	145105000	28160	0	1	1	0	610422a2bd86a2692ce67c63e5f2a2b0
.reloc	14510c000	1088512	0	1	1	0	919a31cfb00c5f918a4137ade414f550
tdb	ff00000000	6224	0	1	1	1	9e170a4d4fb961e4243fab3edb309dc8
