# program	Palworld-Win64-Shipping.exe
# tag	UE5.1-Palworld
# image_base	140000000
# image_base_str	140000000
name	start	size	exec	init	read	write	md5
Headers	140000000	1536	0	1	1	0	c107cc57b1d6e09d11c9167b41ffce8f
.text	140001000	107923456	1	1	1	0	413a8b4cadac62c12dce8fe8f87e4644
.rodata	1466ee000	2048	1	1	1	0	6a04a259b41205a338326bf1a318e559
.rdata	1466ef000	40782336	0	1	1	0	2cd3535ac61ec685f8e482339a3d409c
.data	148dd4000	9627556	0	1	1	1	fd06203b28aa8d0871e2dd4d55f9bdaf
.pdata	149703000	5789696	0	1	1	0	b2984ce1df4d17a2c52858c2481ba500
.msvcjmc	149c89000	512	0	1	1	1	393c810880d948e00f650d316a3604b7
_RDATA	149c8a000	383488	0	1	1	0	9eaf4a8ac1d64c57cbcfb168368310f5
.rsrc	149ce8000	26112	0	1	1	0	2df7ca27bdbd539c99b10ba55b7eb4cc
.reloc	149cef000	2826752	0	1	1	0	c8efd3166ab550413bf5a12e93cffff3
tdb	ff00000000	6224	0	1	1	1	9e170a4d4fb961e4243fab3edb309dc8
