# program	FactoryGame-FactoryGame-Win64-Shipping.dll
# tag	UE5.2-SatGameDLL
# image_base	180000000
# image_base_str	180000000
name	start	size	exec	init	read	write	md5
Headers	180000000	1024	0	1	1	0	3223f13648c6eaf112d16ee3f7ba0b4d
.text	180001000	8809472	1	1	1	0	555fe0ddbcbb0475201cc4514cac2b1f
.uedbg	180868000	103936	1	1	1	0	f206123631c77963c38cb780457f0ddf
.rdata	180882000	8032768	0	1	1	0	75fc3d90dd4d1d973e72a132dc6277f5
.data	18102c000	1005136	0	1	1	1	358ecf24355b92e35bfecd8e74b04c4f
.pdata	181122000	644096	0	1	1	0	d0a006abd5d10a55d88b7557e45eca11
_RDATA	1811c0000	78848	0	1	1	0	617430a8cd708dda1865fee2910d8a1a
.rsrc	1811d4000	60928	0	1	1	0	c749347c4e956b95657741fee6cc3546
.reloc	1811e3000	558080	0	1	1	0	3407cdbc8b1c503b5b9c9758543ad1eb
tdb	ff00000000	6224	0	1	1	1	9e170a4d4fb961e4243fab3edb309dc8
