# program	FactoryGame-Engine-Win64-Shipping.dll
# tag	UE5.2-Satisfactory
# image_base	180000000
# image_base_str	180000000
name	start	size	exec	init	read	write	md5
Headers	180000000	1024	0	1	1	0	ca6ac6a01d0884fd53cf34d2b5ab2acd
.text	180001000	18150400	1	1	1	0	823a200cd65fce7c5d14047a29707258
.uedbg	181151000	346112	1	1	1	0	cdd12fd849de886123df34e6768d039e
.rdata	1811a6000	10558976	0	1	1	0	86383c6436ab0d545902e108f9898cc5
.data	181bb8000	1171792	0	1	1	1	247d2353dec7d9a0a089f5e01fd560e3
.pdata	181cd7000	1160192	0	1	1	0	8af96cc77665695ed83689cd16d420db
_RDATA	181df3000	325120	0	1	1	0	b5c81b97de7eb6cdc3f05f6b84992bf6
.rsrc	181e43000	60416	0	1	1	0	b6187393d77a8f9fd0cf6afbde55a77d
.reloc	181e52000	542208	0	1	1	0	b663654190fa7ba697ac57b43dd0a01f
tdb	ff00000000	6224	0	1	1	1	9e170a4d4fb961e4243fab3edb309dc8
