# program	Avowed-Win64-Shipping.exe
# tag	UE5.3-Avowed
# image_base	140000000
# image_base_str	140000000
name	start	size	exec	init	read	write	md5
Headers	140000000	1024	0	1	1	0	277ea06d6c2197bf872863c1d0980fc4
.text	140001000	145916928	1	1	1	0	79fd29908af4a24ed1883bbd419b510f
.rdata	148b2a000	42765312	0	1	1	0	a12486b1d8b7ecb5b1b7c6224f8fc346
.data	14b3f3000	4213481	0	1	1	1	45b3bf2b61373250b901e37f2460660a
.pdata	14b7f8000	3169792	0	1	1	0	72881e8e12cee2062dd2e928c5bc2421
.msvcjmc	14bafe000	512	0	1	1	1	393c810880d948e00f650d316a3604b7
.retplne	14baff000	512	0	1	0	0	10a8e9a6d2da5ba59aa89b0dadbd892c
.rodata	14bb00000	2048	1	1	1	0	712a9299e3089d8162d7092c8983c440
.tls	14bb01000	4096	0	1	1	1	52a21d88bb2426a08e620ebe67d26b41
.voltbl	14bb02000	1024	0	1	0	0	110eef8fdb7ad5e8d6439add5605a507
.xbld	14bb03000	512	0	1	1	1	93195be534a8b930443972b8e29bd1da
_RDATA	14bb04000	13824	0	1	1	0	3fd02dcc93b34e68b5be3f3dd9fdae8a
.rsrc	14bb08000	135680	0	1	1	0	dd10315a418e49679528c6d70913970d
.reloc	14bb2a000	2742272	0	1	1	0	6237ba492de4a342972ca85a165ed18b
.xbld	14bdc8000	512	0	1	1	1	4b368580739ed310fcb01e5d0ecfeb01
.bind	14bdc9000	233544	1	1	1	0	7e74cc5bfc3c556d3278816c65c3b529
tdb	ff00000000	6224	0	1	1	1	9e170a4d4fb961e4243fab3edb309dc8
