# program	Elliot-Win64-Shipping.exe
# tag	UE5.4-Elliot
# image_base	140000000
# image_base_str	140000000
name	start	size	exec	init	read	write	md5
Headers	140000000	1024	0	1	1	0	a28e4853e4f2e0d8134115037e5c892e
.xpdata	140001000	124583936	1	1	1	0	db71954ba2ff6e83bfa144f0021726d2
.ecode	1476d1000	35844096	0	1	1	0	dd410b84a4c4a7c5eed06b202ec09151
.sdata	149900000	9154560	0	1	1	1	eb7c6bb22366dfeadd423f01f31a8e8d
.sxdata	14a1bb000	6393856	0	1	1	0	05f4559dfcd4d37db00e5944d9f8716f
.xtext	14a7d4000	4096	0	1	1	1	8e44d6cc987b4f2345655d167587ba97
.tls	14a7d5000	4096	0	1	1	0	9b3d3d7811092cdaf88e3885bca71ec4
.arch	14a7d6000	385024	0	1	1	0	2e8b3196f91d25eda323f777aa5b0253
.reloc	14a834000	184320	0	1	1	0	1281eb3ae7b17b7c5c7e83a0cb21f34b
.data	14a861000	2908160	0	1	1	0	5e5c761902bd51b3321223c304e25b94
.idata	14ab27000	309991936	1	1	1	1	4f170530c2863a465c5c932cd94cc408
.edata	15d2c9000	223232	0	1	1	0	8eebb3bb9c1d6d6a15fbbd1137d9520b
.00cfg	15d300000	512	0	1	1	1	56e8b4a06e7b6b0ee78b891574cbd8a7
.data1	15d301000	512	0	1	1	0	f187b765bd0bbe98fb4ead23901ff713
.text	15d302000	6391296	0	1	1	0	b8a20a8ab5789b5502b73e567627d484
