# program	ThirdPerson54-Win64-DebugGame.exe
# tag	UE5.4-ThirdPersonDbgGame
# image_base	140000000
# image_base_str	140000000
name	start	size	exec	init	read	write	md5
Headers	140000000	1536	0	1	1	0	b645955dcb2b3880347bd6e2c49b135a
.text	140001000	213136384	1	1	1	0	4afd05f2bfc378bb987ddbee6683e916
.uedbg	14cb45000	31744	1	1	1	0	a1b7573fccd470b0934213c30b421e2c
.rdata	14cb4d000	48763392	0	1	1	0	2c5184d444759e0a11086691a4e77cae
.data	14f9cf000	6590892	0	1	1	1	cd40e32e50748c161c4d61b6871ecb57
.pdata	150019000	11035136	0	1	1	0	87b3e473c736212d70cb88ef53090c42
.msvcjmc	150aa0000	512	0	1	1	1	393c810880d948e00f650d316a3604b7
.rodata	150aa1000	2048	0	1	1	0	5400216b270f7b220836d3e2273bb10e
_RDATA	150aa2000	399360	0	1	1	0	cc08abb1619dc56ca8a1bad0d6d04d5c
.rsrc	150b04000	29696	0	1	1	0	498048ab49fcba5b6b0a8f6600c32c8b
.reloc	150b0c000	2946048	0	1	1	0	d5a5f78f8142c30c9cdc3a4fcf503e7b
tdb	ff00000000	6224	0	1	1	1	9e170a4d4fb961e4243fab3edb309dc8
