# program	ThirdPerson54.exe
# tag	UE5.4-ThirdPersonDev
# image_base	140000000
# image_base_str	140000000
name	start	size	exec	init	read	write	md5
Headers	140000000	1536	0	1	1	0	cd8726592c735826a957f7b79c52856e
.text	140001000	213104128	1	1	1	0	9b5ab6fb03770c3a97d672e77d76e8d6
.uedbg	14cb3d000	30720	1	1	1	0	79fe0a1254e98a59065997735541b0ad
.rdata	14cb45000	48733184	0	1	1	0	401ed328db199ab02e90fbc26d092d2e
.data	14f9bf000	6590892	0	1	1	1	5fb2bb3b8f0aa66bd4ef150a64774f73
.pdata	150009000	11033600	0	1	1	0	b740ba2c9d182136c9b5cb517283f902
.msvcjmc	150a8f000	512	0	1	1	1	393c810880d948e00f650d316a3604b7
.rodata	150a90000	2048	0	1	1	0	5400216b270f7b220836d3e2273bb10e
_RDATA	150a91000	399360	0	1	1	0	cc08abb1619dc56ca8a1bad0d6d04d5c
.rsrc	150af3000	29696	0	1	1	0	b6f209d16b995698950f2abb575c41d1
.reloc	150afb000	2946048	0	1	1	0	e8a1c845fafc107264b19326671c4d8b
tdb	ff00000000	6224	0	1	1	1	9e170a4d4fb961e4243fab3edb309dc8
