# program	ThirdPerson54-Win64-Shipping.exe
# tag	UE5.4-ThirdPerson
# image_base	140000000
# image_base_str	140000000
name	start	size	exec	init	read	write	md5
Headers	140000000	1536	0	1	1	0	d5b77ea380b8ac2dc69d3f0661488f6b
.text	140001000	97204224	1	1	1	0	ce2cc322b134ea90cff430cf0c5907d4
.rdata	145cb5000	26092544	0	1	1	0	40568ace46d5d49416e51095768da97c
.data	147598000	5097132	0	1	1	1	fbaa1d7683e45f17c5a05ec2b0dc8615
.pdata	147a75000	4822528	0	1	1	0	407235c842311ec9927338ccdd287080
.msvcjmc	147f0f000	512	0	1	1	1	393c810880d948e00f650d316a3604b7
.rodata	147f10000	2048	0	1	1	0	5400216b270f7b220836d3e2273bb10e
_RDATA	147f11000	382976	0	1	1	0	e8bf0221c91777fad3db2f7265e60f94
.rsrc	147f6f000	29696	0	1	1	0	74c14789f8eb4658704da6778d741ebb
.reloc	147f77000	1850368	0	1	1	0	d6b24883809e14e5dff2b65314acecdb
tdb	ff00000000	6224	0	1	1	1	9e170a4d4fb961e4243fab3edb309dc8
