# program	ES2-Win64-Shipping.exe
# tag	UE5.5-Everspace2
# image_base	140000000
# image_base_str	140000000
name	start	size	exec	init	read	write	md5
Headers	140000000	1536	0	1	1	0	e08b0f1567aa084668865519facecc58
.text	140001000	125184000	1	1	1	0	414b766ba6b6774d1a22949909eac51e
.rdata	147764000	34320384	0	1	1	0	ae13a74b9f67b5c0a614de0a9816825c
.data	14981f000	8575664	0	1	1	1	c86c10cd51a2712328fd905355303ac2
.pdata	14a04d000	4480512	0	1	1	0	4a566e641458ece258f79dbd3af167b5
.msvcjmc	14a493000	512	0	1	1	1	393c810880d948e00f650d316a3604b7
.rodata	14a494000	2048	0	1	1	0	5400216b270f7b220836d3e2273bb10e
_RDATA	14a495000	300544	0	1	1	0	6ad657c920986f19ad826724b68c4102
.rsrc	14a4df000	361984	0	1	1	0	8e1bd9172092b2470e13575771b1321a
.reloc	14a538000	2607104	0	1	1	0	fbe6f9b2e00fefca56f9c7605753b4d2
tdb	ff00000000	6224	0	1	1	1	9e170a4d4fb961e4243fab3edb309dc8
