# program	ES2-Win64-Shipping.exe
# tag	UE5.5-Everspace2b
# image_base	140000000
# image_base_str	140000000
name	start	size	exec	init	read	write	md5
Headers	140000000	1536	0	1	1	0	deee14d1fd5ad6b11cd5de68c9a6911d
.text	140001000	125186560	1	1	1	0	cc7eea47963feb4a4ac8543b56944594
.rdata	147765000	34306560	0	1	1	0	f76197ee7ddbce6c8a5ec6db19838e77
.data	14981d000	8575472	0	1	1	1	786f9d16be4cf8fa41e5e88ad585568e
.pdata	14a04b000	4481024	0	1	1	0	d89d215491fe4a180a37fffb07ba7e4a
.msvcjmc	14a491000	512	0	1	1	1	393c810880d948e00f650d316a3604b7
.rodata	14a492000	2048	0	1	1	0	5400216b270f7b220836d3e2273bb10e
_RDATA	14a493000	300544	0	1	1	0	6ad657c920986f19ad826724b68c4102
.rsrc	14a4dd000	361984	0	1	1	0	0aafc08cb3cf889404ce1e6cfe1cc4e7
.reloc	14a536000	2603008	0	1	1	0	9bcca34557ae3a868cf0d5bf56ce8cd9
tdb	ff00000000	6224	0	1	1	1	9e170a4d4fb961e4243fab3edb309dc8
