# program	ManorLords-Win64-Shipping.exe
# tag	UE5.5-ManorLords
# image_base	140000000
# image_base_str	140000000
name	start	size	exec	init	read	write	md5
Headers	140000000	1536	0	1	1	0	542d2cbb44743aa77aede428854b9ff2
.text	140001000	117590016	1	1	1	0	5358ceb5f5a38b3d20bf99b754d23864
.rdata	147026000	32516608	0	1	1	0	6f625e2456c05a9c0a7c00baf89e4e17
.data	148f29000	5901132	0	1	1	1	cb77b01befcdb3566db1fb98820809e3
.pdata	1494ca000	5904896	0	1	1	0	b2e2c019a76026707251637b63c414ef
.msvcjmc	149a6c000	512	0	1	1	1	393c810880d948e00f650d316a3604b7
.rodata	149a6d000	2048	0	1	1	0	5400216b270f7b220836d3e2273bb10e
_RDATA	149a6e000	384000	0	1	1	0	ac84ab8ea1c6ef887012f7fcebcba9b8
.rsrc	149acc000	174592	0	1	1	0	b6cd13c3efd09f4aff48ddfcc19792f0
.reloc	149af7000	2553344	0	1	1	0	16ab746a0bf84bbfd5e2200e50fe88e0
tdb	ff00000000	6224	0	1	1	1	9e170a4d4fb961e4243fab3edb309dc8
