# program	Meltopia-Win64-Shipping.exe
# tag	UE5.5-Meltopia
# image_base	140000000
# image_base_str	140000000
name	start	size	exec	init	read	write	md5
Headers	140000000	1536	0	1	1	0	61f363136bde54ff0e079f0e9c3d7dd3
.text	140001000	128360960	1	1	1	0	59ddb08815a2e540a85f15c8cd275ac8
.rdata	147a6c000	33683968	0	1	1	0	5565ab2ff611042d60c868bc909b7c79
.data	149a8c000	5909172	0	1	1	1	b84d6e7e3436da903fb799693dc1f58a
.pdata	14a02f000	6346240	0	1	1	0	38fb4e97849e54d4dfd7de2698909c59
.msvcjmc	14a63d000	512	0	1	1	1	393c810880d948e00f650d316a3604b7
.rodata	14a63e000	2048	0	1	1	0	5400216b270f7b220836d3e2273bb10e
_RDATA	14a63f000	384000	0	1	1	0	ac84ab8ea1c6ef887012f7fcebcba9b8
.rsrc	14a69d000	266240	0	1	1	0	69dac45c45453d8f9d56fa07af659f7d
.reloc	14a6de000	2640896	0	1	1	0	e4135b6ee197da38a313210117cec4a8
tdb	ff00000000	6224	0	1	1	1	9e170a4d4fb961e4243fab3edb309dc8
