# program	CrashReportClient.exe
# tag	UE5.6-Satisfactory
# image_base	140000000
# image_base_str	140000000
name	start	size	exec	init	read	write	md5
Headers	140000000	1024	0	1	1	0	fb654360716b28ac832ff449ff781c6e
.text	140001000	18798592	1	1	1	0	6b30e3032ac87997d59ebc4acb35bf52
.uedbg	1411ef000	1536	1	1	1	0	64b964151612ca40f2dac0ec08ebd1ba
.rdata	1411f0000	7539712	0	1	1	0	3a213dab4b92fea26d4833be9213ff77
.data	141921000	1943728	0	1	1	1	403209bbae23454654f3bdcc97bf72ba
.pdata	141afc000	866816	0	1	1	0	6ca55283ed637f2d00fc4eaa8a940ba6
_RDATA	141bd0000	150016	0	1	1	0	aaa32fa86d435c5f9677a8100699bbff
.rsrc	141bf5000	60928	0	1	1	0	2688b37ffd74e3bb600d950822714c34
.reloc	141c04000	201728	0	1	1	0	a6b109711485d1c0f637b32ea2a36588
tdb	ff00000000	6224	0	1	1	1	9e170a4d4fb961e4243fab3edb309dc8
