# program	FactoryGameSteam-Core-Win64-Shipping.dll
# tag	UE5.6-Satisfactory
# image_base	180000000
# image_base_str	180000000
name	start	size	exec	init	read	write	md5
Headers	180000000	1024	0	1	1	0	f1828d5e47c8cc333780700eb6def90f
.text	180001000	5869056	1	1	1	0	28a2876cad92d4197193d26602f611fb
.uedbg	18059a000	512	1	1	1	0	40d014de2c758eed1c3223fd68660261
.rdata	18059b000	2070016	0	1	1	0	199a7fb80304a8874877bee9e47505f7
.data	180795000	1474644	0	1	1	1	0e698602437df9c60e21f5713ad46abf
.pdata	1808fe000	301056	0	1	1	0	2b33b909befbc84b3109dce8b6fd09df
_RDATA	180948000	150016	0	1	1	0	aaa32fa86d435c5f9677a8100699bbff
.rsrc	18096d000	59392	0	1	1	0	c3eab2ea7a7ee42f4554d5257a182913
.reloc	18097c000	43008	0	1	1	0	88f720b6d27084413f2878c7a353a1b3
tdb	ff00000000	6224	0	1	1	1	9e170a4d4fb961e4243fab3edb309dc8
