# program	FactoryGameSteam-Engine-Win64-Shipping.dll
# tag	UE5.6-Satisfactory
# image_base	180000000
# image_base_str	180000000
name	start	size	exec	init	read	write	md5
Headers	180000000	1024	0	1	1	0	d351bfd712f65c7a99b1b769c6afcb04
.text	180001000	23953920	1	1	1	0	abbf8083a32f9d9ec7bc51929641fb63
.uedbg	1816da000	1024	1	1	1	0	ac6ba605a0042ef196f40bb13554a6e7
.rdata	1816db000	10144768	0	1	1	0	1d36e3c127e3f377b263a51a295f725e
.data	182088000	955552	0	1	1	1	41b552e3192d19e45f52c76390b69e09
.pdata	182172000	1270272	0	1	1	0	9aaf3c76da61b876928234eb91ef74de
_RDATA	1822a9000	150016	0	1	1	0	fafbf2df642fbe65d9f69d34d57491fa
.rsrc	1822ce000	59392	0	1	1	0	0384bd78ea145d0d6e951217583f24e3
.reloc	1822dd000	639488	0	1	1	0	b2373bb2e03f2c749fb8034168c2f9f5
tdb	ff00000000	6224	0	1	1	1	9e170a4d4fb961e4243fab3edb309dc8
