# program	FactoryGameSteam-FactoryGame-Win64-Shipping.dll
# tag	UE5.6-Satisfactory
# image_base	180000000
# image_base_str	180000000
name	start	size	exec	init	read	write	md5
Headers	180000000	1024	0	1	1	0	3e8dd2b9ddd9e9246c12b4a954d54546
.text	180001000	15364608	1	1	1	0	ab94a572f931250d7f7a92303ea25d03
.uedbg	180ea9000	69120	1	1	1	0	038ed43833b7093ed04e67fc07ca5ef5
.rdata	180eba000	10611200	0	1	1	0	eff76719e3e74fbd02e81d75adefa2cf
.data	1818d9000	1296608	0	1	1	1	534eafbb950a3f7fc1df32fdb783970a
.pdata	181a16000	991232	0	1	1	0	3597cc6e9b7fff9455de245dd3187587
_RDATA	181b08000	78848	0	1	1	0	617430a8cd708dda1865fee2910d8a1a
.rsrc	181b1c000	59392	0	1	1	0	c93d34ed42849451b49913dd6ce6ae3d
.reloc	181b2b000	736256	0	1	1	0	0d69728b01a84dcfed0c9877ddc4599b
tdb	ff00000000	6224	0	1	1	1	9e170a4d4fb961e4243fab3edb309dc8
