# program	TQ2-Win64-Shipping.exe
# tag	UE5.6-TQ2
# image_base	140000000
# image_base_str	140000000
name	start	size	exec	init	read	write	md5
Headers	140000000	1536	0	1	1	0	5014a8600ed3b35c8dcd4c875d0a0380
.text	140001000	128968192	1	1	1	0	eb24666e32624496ff3d3e196088d06d
.rdata	147b00000	40964608	0	1	1	0	151773aff381a5163368956e5260ffc5
.data	14a212000	6394000	0	1	1	1	f3b92b0cbd16eeab087e941e87e93208
.pdata	14a82c000	6888960	0	1	1	0	af0b5f3c814fbbd16f4c6cedb154f545
.msvcjmc	14aebe000	512	0	1	1	1	393c810880d948e00f650d316a3604b7
CPADinfo	14aebf000	512	0	1	1	1	bf619eac0cdf3f68d496ea9344137e8b
_RDATA	14aec0000	383488	0	1	1	0	cfa1ad884cf4f9ec7d5a3cfc2b4fe879
.rsrc	14af1e000	119296	0	1	1	0	4ee6ca24c2c688b8ac8426aa3c4f73c0
.reloc	14af3c000	3062272	0	1	1	0	f39f7a988984dec8f4a717a074d42104
tdb	ff00000000	6224	0	1	1	1	9e170a4d4fb961e4243fab3edb309dc8
