# program	SolarpunkSteam-Win64-Shipping.exe
# tag	UE5.7-Solarpunk
# image_base	140000000
# image_base_str	140000000
name	start	size	exec	init	read	write	md5
Headers	140000000	1536	0	1	1	0	28e62a227111b78b9022d2af101314a3
.text	140001000	95412736	1	1	1	0	c9edb092066af8a87216b2f6ddd31d3b
.rdata	145b00000	28717056	0	1	1	0	796c645b896029f0cddb6673f283e1d8
.data	147663000	5304964	0	1	1	1	6a70768a045c536d9023525c55281f2d
.pdata	147b73000	3527680	0	1	1	0	29c620a845ae7950d33049aba5f8b271
.msvcjmc	147ed1000	512	0	1	1	1	393c810880d948e00f650d316a3604b7
.rodata	147ed2000	2048	0	1	1	0	d7dc06b01db975d1805676b988833516
_RDATA	147ed3000	177664	0	1	1	0	5817d8774abd14807776eb4e3d13ca0e
.rsrc	147eff000	72704	0	1	1	0	b71945142f1c9bbce11773c4779bd3ef
.reloc	147f11000	2152960	0	1	1	0	663af21789283974396d52ad580de5e0
tdb	ff00000000	6224	0	1	1	1	9e170a4d4fb961e4243fab3edb309dc8
