# program	StackOBot-Win64-DebugGame.exe
# tag	UE5.7.4-StackOBotDbgGame
# image_base	140000000
# image_base_str	140000000
name	start	size	exec	init	read	write	md5
Headers	140000000	1536	0	1	1	0	2dcc2cc2f8e9c0016364e05e00fb189d
.text	140001000	233956352	1	1	1	0	ce881316fde112d6d23480e507dcabb6
.uedbg	14df20000	1076736	1	1	1	0	2e802d54c5ed7c4538fa5cfe3b4e098b
.rdata	14e027000	59448832	0	1	1	0	aca78188baed19c63071e4f9d3c118c8
.data	1518d9000	7466852	0	1	1	1	3bf4cc98beb1284d6750082194c24dba
.pdata	151ff8000	11817472	0	1	1	0	836335bdd0e2d60d00eeec9696c90d73
.msvcjmc	152b3e000	512	0	1	1	1	393c810880d948e00f650d316a3604b7
.rodata	152b3f000	2048	0	1	1	0	d7dc06b01db975d1805676b988833516
_RDATA	152b40000	400384	0	1	1	0	8c42d0720765a38bf6fadf1904b89858
.rsrc	152ba2000	69632	0	1	1	0	0f9ba4b328f31963a757b70468bf74a5
.reloc	152bb3000	3577856	0	1	1	0	18a1fb746f18d70434fbbb47a9468f07
