# program	StackOBot-Win64-Shipping.exe
# tag	UE5.7.4-StackOBot
# image_base	140000000
# image_base_str	140000000
name	start	size	exec	init	read	write	md5
Headers	140000000	1536	0	1	1	0	e7531c5289591f5492b2abbba5ec0453
.text	140001000	115813888	1	1	1	0	0cb58f89b0de3053b3f4d5051f80a7a7
.rdata	146e74000	32014848	0	1	1	0	d88cdfef4c08b80d6a80c770c9f1ae0f
.data	148cfd000	5483268	0	1	1	1	41b70ed1e211c9827d8a37e861ef305b
.pdata	149238000	5817344	0	1	1	0	12ed28713243b79ff91b24bc6313ca88
.msvcjmc	1497c5000	512	0	1	1	1	393c810880d948e00f650d316a3604b7
.rodata	1497c6000	2048	0	1	1	0	d7dc06b01db975d1805676b988833516
_RDATA	1497c7000	383488	0	1	1	0	cfa1ad884cf4f9ec7d5a3cfc2b4fe879
.rsrc	149825000	70144	0	1	1	0	03862c590ae5f1ebff919f443a5e4e65
.reloc	149837000	2338304	0	1	1	0	4807534c9896839ec3639b547deadc8d
tdb	ff00000000	6224	0	1	1	1	9e170a4d4fb961e4243fab3edb309dc8
