# program	StackOBot-Win64-DebugGame.exe
# tag	UE5.8-StackOBotDbgGame
# image_base	140000000
# image_base_str	140000000
name	start	size	exec	init	read	write	md5
Headers	140000000	1536	0	1	1	0	c897544705e6c66d7725cb35c8fa01c5
.text	140001000	259592704	1	1	1	0	b676934f890dd22e41c3f7f7e85ce5cc
.uedbg	14f793000	1264128	1	1	1	0	e7bd5707d79b5c0c5fb00cd4ebf99b4e
.rdata	14f8c8000	62672384	0	1	1	0	a3cb5d82d6058f9bb54c890783c8052a
.data	15348d000	8141828	0	1	1	1	5f8dc464fd1f7272a1d89416558e381b
.pdata	153c51000	12900864	0	1	1	0	983a77bbb5f1214b689fd12eb71b7be8
.detourc	15489f000	9216	0	1	1	0	a6f957fb923e2d3028d6dbb8f4b759b0
.detourd	1548a2000	512	0	1	1	1	edda25907019e5cc74c177f6952e5e4b
.msvcjmc	1548a3000	512	0	1	1	1	393c810880d948e00f650d316a3604b7
.rodata	1548a4000	2048	0	1	1	0	d7dc06b01db975d1805676b988833516
_RDATA	1548a5000	400384	0	1	1	0	8c42d0720765a38bf6fadf1904b89858
.rsrc	154907000	67584	0	1	1	0	2100524d0cd703a79f910dc42cd861d5
.reloc	154918000	3830784	0	1	1	0	c32e74a435033eab9311536571099658
