# program	StackOBot-Win64-Shipping.exe
# tag	UE5.8-StackOBot
# image_base	140000000
# image_base_str	140000000
name	start	size	exec	init	read	write	md5
Headers	140000000	1536	0	1	1	0	d450b88f20f90124037f93a28270ed66
.text	140001000	130611200	1	1	1	0	ed07791f38f14c451f0788b7b9ae66e8
.rdata	147c91000	33406976	0	1	1	0	0766db4cbf7c157720c163a37889de68
.data	149c6d000	6151300	0	1	1	1	58d8ebf14a1db7c0a92898e7d42e78a9
.pdata	14a24b000	6327808	0	1	1	0	b85dfd4c1cdddd2f75b527729ebd6a29
.msvcjmc	14a854000	512	0	1	1	1	393c810880d948e00f650d316a3604b7
.rodata	14a855000	2048	0	1	1	0	d7dc06b01db975d1805676b988833516
_RDATA	14a856000	383488	0	1	1	0	cfa1ad884cf4f9ec7d5a3cfc2b4fe879
.rsrc	14a8b4000	67584	0	1	1	0	3017911695c1be23ccfb74082e3b8ec1
.reloc	14a8c5000	2524160	0	1	1	0	00e3b0be4d5ec3a1c791299f84260e81
tdb	ff00000000	6224	0	1	1	1	9e170a4d4fb961e4243fab3edb309dc8
