# program	Titan-Win64-DebugGame.exe
# tag	UE5.8-TitanDbgGame
# image_base	140000000
# image_base_str	140000000
name	start	size	exec	init	read	write	md5
Headers	140000000	1536	0	1	1	0	463da5a5ae1bca29f52e8f4582a6db34
.text	140001000	268150784	1	1	1	0	865acb43a002695f230f69e1f19a9754
.uedbg	14ffbc000	1333760	1	1	1	0	13317c793b505c47ce9b9dbadaec04f2
.rdata	150102000	66211840	0	1	1	0	e3b5f8b4e09e3c7a040eba9ade7d56e5
.data	154027000	8394308	0	1	1	1	14ed65c2143255c05abf875ecc357236
.pdata	154829000	13416448	0	1	1	0	60895ac7324cdb9db248d31eaa9f897f
.detourc	1554f5000	9216	0	1	1	0	4989cb5f081843efb1d521c2b9717d2b
.detourd	1554f8000	512	0	1	1	1	edda25907019e5cc74c177f6952e5e4b
.msvcjmc	1554f9000	512	0	1	1	1	393c810880d948e00f650d316a3604b7
.rodata	1554fa000	2048	0	1	1	0	d7dc06b01db975d1805676b988833516
_RDATA	1554fb000	400384	0	1	1	0	8c42d0720765a38bf6fadf1904b89858
.rsrc	15555d000	26624	0	1	1	0	6dd48cdc98cf0131fe3b95db340422a4
.reloc	155564000	4132864	0	1	1	0	7832188ce931b13c3508c497a22af2b6
