# program	StackOBot.exe
# tag	UE5.8.1-StackOBotDev
# image_base	140000000
# image_base_str	140000000
name	start	size	exec	init	read	write	md5
Headers	140000000	1536	0	1	1	0	9221c10c20e612cd6a41b98d15fcc2ec
.text	140001000	252544512	1	1	1	0	02ecb7662a4c67e2269b34756c3b46cf
.uedbg	14f0da000	1265152	1	1	1	0	189efffdece919eeb3ff69a91e550df0
.rdata	14f20f000	62031360	0	1	1	0	241cd1023fce989c459024e89efaed60
.data	152d38000	8091876	0	1	1	1	6bd2040c84ed1541ca1e25ea1bce8584
.pdata	1534f0000	12676608	0	1	1	0	fabdae9ac69cc857fc14c3b2f9096bd8
.detourc	154107000	9216	0	1	1	0	cc34ce9954f78a559dc99277f664a06e
.detourd	15410a000	512	0	1	1	1	edda25907019e5cc74c177f6952e5e4b
.msvcjmc	15410b000	512	0	1	1	1	393c810880d948e00f650d316a3604b7
.rodata	15410c000	2048	0	1	1	0	d7dc06b01db975d1805676b988833516
_RDATA	15410d000	400384	0	1	1	0	8c42d0720765a38bf6fadf1904b89858
.rsrc	15416f000	67072	0	1	1	0	cc1e8dadb789a56dc0bcbcb304986e6c
.reloc	154180000	3802112	0	1	1	0	b405e96ab03a837e91fc74c95e182470
tdb	ff00000000	6224	0	1	1	1	9e170a4d4fb961e4243fab3edb309dc8
