# program	DQIandIIHD2DRemake.exe
# tag	UEx-DQ12HD2D
# image_base	140000000
# image_base_str	140000000
name	start	size	exec	init	read	write	md5
Headers	140000000	1536	0	1	1	0	2c01e80b6f5742310d494fdbfcf8b66f
.text	140001000	65397248	1	1	1	0	9fc4b9c0eaeedd09ca0de30d4ef9aa41
.rdata	143e60000	19012608	0	1	1	0	1688703228c5ab310cbe114c736f8da5
.data	145082000	9046508	0	1	1	1	367e55fbe23828cf6b2c83e25692b984
.pdata	145923000	3316224	0	1	1	0	009b7a9b1f4216ad245d36121449d39f
.msvcjmc	145c4d000	512	0	1	1	1	393c810880d948e00f650d316a3604b7
_RDATA	145c4e000	160768	0	1	1	0	59f365053162db4ea7823b27d4658150
.rsrc	145c76000	111104	0	1	1	0	8fd09bb6f99e5b9ff53fe1144cdc6f10
.reloc	145c92000	1562624	0	1	1	0	95d4da686a3dc42ed22a63792811fcc9
tdb	ff00000000	6224	0	1	1	1	9e170a4d4fb961e4243fab3edb309dc8
